Name,Countries,Stage,Type,Cheque_min,Cheque_max,Industry
Accelerace,"Denmark,Sweden,Finland","pre-seed, idea, prototype/mvp, seed","Incubator, Accelerator",50000,1000000,Sector Agnostic
Accion Venture Lab,"Argentina,Brazil,United States,United Arab Emirates,United Kingdom,Poland,Colombia,Chile,Egypt,India,Indonesia,Kenya,Mexico,Nigeria,Pakistan,Peru,South Africa,Philippines","pre-seed, seed, series+",VC,250000,500000,Fintech
Act Venture Capital,"Ireland,United Kingdom,Germany,Norway,Denmark,France,Spain,Sweden","pre-seed, idea, prototype/mvp, seed, series+",VC,100000,10000000,"Energy, Media, Fintech, IoT"
Act Venture Partners,"Denmark,Finland,Germany,Ireland,Netherlands,Spain,Sweden,United Kingdom,Turkey","pre-seed, seed, series+",VC,100000,1000000,Sector Agnostic
Active Impact Investments,"United States,Canada","pre-seed, seed, series+",VC,500000,1000000,Energy
Acton Capital,"Germany,United Kingdom,Sweden,Canada,France,Spain,United States","pre-seed, seed, series+",VC,3000000,12000000,Other
Adam Morand,"Antigua and Barbuda,Barbados,Canada,Trinidad and Tobago,United States,Uruguay,Japan","pre-seed, idea, prototype/mvp, seed",Solo angel,50000,50000,Other
Addendum Capital,"France,Germany,Italy,Netherlands,Portugal,Spain,United Kingdom","pre-seed, idea, prototype/mvp, seed",VC,50000,300000,IT
Adelie Capital,"France,United Kingdom,Germany,Switzerland,Spain,Italy,Belgium","pre-seed, seed, series+",VC,500000,3000000,Sector Agnostic
Adesso Ventures,"Germany,Austria,Switzerland,Belgium,Czech Republic,Denmark,Estonia,Hungary,Ireland,Italy,Liechtenstein,Luxembourg,Latvia,Lithuania,Netherlands,Poland,Portugal,Romania,Spain,Sweden,Finland,United Kingdom,France","pre-seed, idea, prototype/mvp, seed, series+",Corporate VC,100000,1000000,"IT, Fintech"
Adevinta Ventures,"France,Germany,Italy,Netherlands,Spain","pre-seed, seed, series+",Corporate VC,1000000,7000000,Fintech
AdTay Ventures,"United Kingdom,Israel","pre-seed, pre-ipo, seed, series+",VC,100000,10000000,Sector Agnostic
Aescuvest,"Germany,Israel,Austria,Belgium,Bulgaria,Croatia,Czech Republic,Denmark,Sweden,Finland,France,Greece,Hungary,Ireland,Norway,Spain,Portugal,Ukraine,United Kingdom,Switzerland","pre-seed, seed",VC,1000000,5000000,Sector Agnostic
AFI Ventures,"France,United Kingdom,Spain,Germany,Italy,Netherlands","pre-seed, idea, prototype/mvp, seed, series+",VC,150000,500000,Sector Agnostic
Aglae Ventures by Groupe Arnault,"France,United States,Israel,Canada","pre-seed, pre-ipo, seed, series+",Corporate VC,100000,100000000,IT
Agya Ventures,"United States,India,Israel,Singapore","pre-seed, idea, prototype/mvp, seed, series+",VC,250000,1000000,Other
AI Fund,United States,"pre-seed, idea, prototype/mvp, seed",VC,250000,1000000,Other
AIP Seed VC,"Guyana,Albania,Bosnia-H,Bulgaria,Croatia,Czech Republic,Estonia,Hungary,Latvia,Lithuania,Moldova,Montenegro,North Macedonia,Poland,Romania,Serbia,Slovakia,Slovenia,Ukraine","pre-seed, idea, prototype/mvp, seed",VC,50000,400000,Sector Agnostic
Airtree Ventures,"Australia,New Zealand","pre-seed, idea, prototype/mvp, seed, series+",VC,100000,10000000,Sector Agnostic
Aish Capital,"Israel,United States","pre-seed, seed, series+",Other,500000,20000000,Sector Agnostic
Akhilesh Chandra,"Canada,United States,India,Indonesia,Malaysia,Singapore,Austria,Belarus,Belgium,Denmark,France,Iceland,Norway,Spain,Switzerland,United Kingdom,Australia","pre-seed, idea, prototype/mvp, seed, series+",Solo angel,50000,500000,"IT, Fintech"
Aksara Ventures,"Indonesia,Singapore","pre-seed, idea, prototype/mvp, seed",VC,50000,300000,Sector Agnostic
Alarabi Venture Capital,"United Arab Emirates,Saudi Arabia,Bahrain,Jordan,Lebanon,Egypt,Oman,Kuwait,Qatar","pre-seed, seed, series+",VC,100000,500000,IT
Alberts Impact Ventures,"Australia,New Zealand","pre-seed, idea, prototype/mvp, seed, series+",VC,80000,800000,Other
Alecla7,"Argentina,Brazil,Chile,Mexico,United States,India,Indonesia,Singapore,France,Germany,Italy,Spain,Sweden,United Kingdom,Israel,United Arab Emirates","pre-seed, idea, prototype/mvp, pre-ipo, seed, series+",Family office,100000,1000000,Sector Agnostic
Aleph VC,"United States,Israel,Canada","pre-seed, idea, prototype/mvp, seed",VC,2000000,12000000,Edtech
Aletra Capital Partners,"Singapore,Netherlands,Canada,United States","pre-seed, seed, series+",VC,250000,2000000,IT
Alfabeat,"Poland,Estonia,Latvia,Lithuania,Czech Republic,Slovakia,Hungary,Croatia,Romania,Bulgaria,Slovenia","pre-seed, seed",VC,250000,1000000,IT
ALIAVIA Ventures,"Australia,United States","pre-seed, idea, prototype/mvp, seed",VC,100000,1000000,Consumer
All Blue Capital,"Canada,United States,United Kingdom,Ireland,Japan,China","pre-seed, pre-ipo, seed, series a",VC,500000,100000000,Sector Agnostic
Allianz Life Ventures,United States,"pre-seed, idea, prototype/mvp, seed, series+",Corporate VC,500000,3000000,"IT, Fintech"
Almi Invest,Sweden,"pre-seed, seed",VC,120000,1000000,IT
Aloniq,"United States,Singapore,United Kingdom,Israel","pre-seed, idea, prototype/mvp, seed, series+",VC,100000,500000,IT
Alpha Future Funds,"Argentina,Austria,Belgium,Canada,Chile,Colombia,Cyprus,Czech Republic,Denmark,Finland,France,Germany,Ireland,Italy,Liechtenstein,Luxembourg,Mexico,Norway,Netherlands,Slovenia,United States,Singapore,United Kingdom,Switzerland,Sweden","pre-seed, idea, prototype/mvp, seed, series+",VC,250000,1000000,Sector Agnostic
Alpha Intelligence Capital,"Canada,United States,France,Germany,Ireland,Luxembourg,Netherlands,Norway,Poland,Portugal,Spain,Sweden,Switzerland,United Kingdom,Israel","pre-seed, seed, series+",VC,1000000,10000000,Sector Agnostic
Alpha Square Group,United States,"pre-seed, pre-ipo, series+",VC,3000000,15000000,"IT, Fintech"
Alsace Business Angels,France,"pre-seed, idea, prototype/mvp, seed, series+",Angel network,60000,200000,Sector Agnostic
Altamira,Poland,"pre-seed, seed",VC,500000,1000000,Other
Altavia Adventures,France,"pre-seed, idea, prototype/mvp, seed",Corporate VC,200000,3000000,"IT, Consumer"
Alven,"France,United States,Belgium,Germany,Netherlands,Sweden,Denmark,Finland,Italy,Spain,Portugal,Poland,Estonia","pre-seed, idea, prototype/mvp, seed, series+",VC,500000,15000000,IT
Amdocs Ventures,"Israel,United States,United Kingdom,Germany","pre-seed, idea, prototype/mvp, seed, series+",Corporate VC,750000,3000000,IT
"American Prudential Capital, inc.",United States,"pre-seed, pre-ipo, seed, series+",Family office,25000,15000000,Other
AMG Block,"Mexico,Colombia,Peru,Chile,Argentina","pre-seed, idea, prototype/mvp, seed",VC,50000,250000,Fintech
Amit Gogia,India,"pre-seed, seed, series+",Solo angel,10000,25000,"IT, Consumer"
Amiti,Israel,"pre-seed, idea, prototype/mvp, seed",VC,2000000,5000000,Sector Agnostic
Ananda Impact Ventures,"Austria,Belgium,Finland,Germany,Luxembourg,Netherlands,Norway,Sweden,Switzerland,United Kingdom","pre-seed, seed",VC,500000,3000000,IT
AnD Ventures,Israel,"pre-seed, seed, series+",VC,500000,2000000,Sector Agnostic
Andreas Mihalovits,"Canada,United States,Austria,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,United Kingdom,Ukraine,United Arab Emirates","pre-seed, seed, series+",Solo angel,50000,300000,Other
Angel Invest,"United States,Austria,Belgium,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Lithuania,Luxembourg,Moldova,Netherlands,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,United Kingdom,Ukraine","pre-seed, idea, prototype/mvp, seed, series+",VC,100000,100000,Other
AngelHub,"Belgium,France,United Kingdom,Ireland,Netherlands,Luxembourg,Germany,Hong Kong,Singapore,Indonesia,Philippines,Thailand,Vietnam,Australia,New Zealand","pre-seed, seed, series+",Other,200000,750000,"IT, Fintech"
Angels Bay Invest,France,"pre-seed, idea, prototype/mvp, seed, series+",Angel network,70000,150000,Other
Angular Ventures,"Israel,United Kingdom,Germany,France,Netherlands,Spain,Sweden,Ireland,Austria,Estonia,Romania,Poland,Belgium,Croatia,Greece,Norway,Slovakia,Serbia,Slovenia","pre-seed, idea, prototype/mvp, seed",VC,250000,2000000,Other
Anil Can Baykal,Germany,"pre-seed, idea, prototype/mvp, seed",Solo angel,50000,1000000,IT
Antler,"United States,Singapore,Australia,India,Germany,China,Netherlands,Sweden,Norway,United Kingdom,Denmark,Kenya","pre-seed, idea, prototype/mvp",VC,100000,100000,Sector Agnostic
APEX Capital,"United States,Portugal,Spain,Belgium,Netherlands,Ukraine,United Kingdom,Andorra,Brazil,Canada,Croatia,Czech Republic,Denmark,Finland,Norway,Germany,France,Greece,Hungary,United Arab Emirates,Switzerland,Sweden,Turkey,Serbia","pre-seed, idea, prototype/mvp, seed, series+",VC,100000,4000000,Media
Apex Ventures,"Austria,Germany,Switzerland","pre-seed, idea, prototype/mvp, seed",VC,500000,2000000,Other
APX,"Spain,Portugal,France,Netherlands,Belgium,Austria,Germany,Switzerland,United Kingdom,Israel,Poland,Serbia,Hungary,Luxembourg,Denmark,Sweden,Estonia,Latvia,Lithuania,Finland,Ireland,Italy,Croatia,Bosnia-H,Greece","pre-seed, idea, prototype/mvp, seed",VC,50000,100000,IT
Arborview Capital,"Canada,Mexico,United States","pre-seed, series+",VC,5000000,15000000,Sector Agnostic
Arc Ventures,United States,"pre-seed, idea, prototype/mvp, pre-ipo, seed",VC,500000,2000000,IT
Archangel Ventures,"Australia,New Zealand,Singapore","pre-seed, seed",VC,20000,500000,Sector Agnostic
Arctern Ventures,"Canada,United States,Andorra,Austria,Belgium,Bulgaria,Croatia,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Netherlands,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,United Kingdom,Australia","pre-seed, idea, prototype/mvp, seed",VC,1000000,5000000,Energy
ArK Kapital,"United Kingdom,Germany,Sweden,Denmark,Finland,United States","pre-seed, seed, series+",Other,1000000,20000000,IT
Arkéa Capital,France,"pre-seed, series+",VC,2000000,5000000,Energy
Arkstons Capital,"India,United Arab Emirates,United Kingdom,United States,Singapore","pre-seed, idea, prototype/mvp, pre-ipo, seed, series+",Angel network,50000,500000,"IT, Edtech, Fintech, IoT"
ArkStream Capital,"China,United States","pre-seed, idea, prototype/mvp, seed, series+",VC,100000,2000000,Fintech
Army Venture Capital Corporation,"United States,United Kingdom,Australia,Canada","pre-seed, series+",VC,500000,2000000,Sector Agnostic
Arrebol Capital,"Colombia,Brazil,Mexico,Argentina,Chile,Peru,Uruguay","pre-seed, seed, series+",VC,25000,250000,IT
Artesian,"Australia,China,New Zealand,Indonesia,Singapore","pre-seed, idea, prototype/mvp, pre-ipo, seed, series+",VC,50000,1000000,IT
Artichoke Capital,"Canada,Hong Kong,Indonesia,India,Brazil,United States,Philippines,Vietnam,Singapore,Colombia,Argentina,Nigeria,Israel","pre-seed, idea, prototype/mvp, seed",VC,100000,500000,Other
Asif Ventures,Netherlands,"pre-seed, idea, prototype/mvp, seed",VC,25000,100000,Sector Agnostic
Assured Asset Management Limited,"Hong Kong,United States,Singapore","pre-seed, pre-ipo, series+",VC,1000000,10000000,Sector Agnostic
Astella Investimentos,Brazil,"pre-seed, seed, series+",VC,500000,5000000,IT
Aster Capital,"United States,Israel,France,Italy","pre-seed, seed, series+",VC,500000,5000000,IT
Aston Capital,"United States,Israel,United Kingdom","pre-seed, idea, prototype/mvp, pre-ipo, seed, series+",Family office,500000,2000000,Sector Agnostic
Astorya,"France,Germany,United Kingdom,Spain,Belgium,Netherlands,Poland,Czech Republic,Estonia,Ukraine,Portugal,Italy,Greece,Ireland,Norway,Sweden,Denmark,Finland,Latvia,Lithuania,Belarus,Slovakia,Slovenia,Hungary,Romania,Bulgaria,Croatia,Switzerland,San Marino,Liechtenstein","pre-seed, idea, prototype/mvp, seed",VC,120000,300000,Fintech
Atento Capital,United States,"pre-seed, idea, prototype/mvp, seed",VC,250000,3000000,IT
Athenian VC,United States,"pre-seed, idea, prototype/mvp, seed",VC,50000,1000000,IT
Atlantic Labs,"Germany,Austria,Switzerland,Sweden","pre-seed, idea, prototype/mvp, seed",VC,300000,1000000,Sector Agnostic
Atlantis Ventures,"Germany,Austria,Switzerland,Sweden,United Kingdom,Belgium,Denmark,Netherlands,United States,Canada,Finland,Estonia,Latvia,Lithuania,Luxembourg,Spain,Czech Republic,France,Hungary,Iceland,New Zealand","pre-seed, idea, prototype/mvp, seed, series+",VC,25000,300000,IT
Atlas Ventures (Singapore),"Singapore,Thailand,Vietnam,Philippines,Malaysia,Indonesia,United States,Israel,Australia","pre-seed, seed, series+",VC,500000,5000000,Media
Atomico,"Albania,Austria,Belarus,Belgium,Bulgaria,Croatia,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Lithuania,Netherlands,Norway,Poland,Portugal,Spain,Sweden,Switzerland,United Kingdom","pre-seed, seed, series+",VC,5000000,20000000,Sector Agnostic
Atria Ventures,"United States,Canada,United Kingdom,Germany,Switzerland","pre-seed, idea, prototype/mvp, seed",VC,250000,1000000,Sector Agnostic
Audacious Ventures,"United States,Canada,United Kingdom,Germany,France,Mexico,Israel,India","pre-seed, idea, prototype/mvp, seed",VC,500000,4000000,IT
Aurelia Ventures,United States,"pre-seed, idea, prototype/mvp, seed","Incubator, Accelerator",25000,2000000,IT
Autonom Ventures,Romania,"pre-seed, idea, prototype/mvp, seed, series+",Family office,5000,500000,Fintech
AV8,"United States,United Kingdom","pre-seed, seed",VC,500000,8000000,"IT, Healthcare, Fintech, IoT"
AvantLab,"Argentina,Colombia,Chile,Uruguay,Paraguay,Brazil,Peru,Mexico","pre-seed, seed, series+",VC,50000,150000,Sector Agnostic
Avelana,France,"pre-seed, idea, prototype/mvp, seed, series+",Family office,200000,2000000,IT
Avesta Fund,"United States,Canada,Mexico","pre-seed, idea, prototype/mvp, seed",VC,150000,500000,Edtech
AVP AXA Venture Partners,"France,United States,United Kingdom,Israel,Canada,Germany,Spain,Portugal,Switzerland,Norway,Finland,Sweden,Luxembourg,Belgium,Netherlands,Italy,Poland,Latvia,Estonia,Ireland,Austria,Hungary,Czech Republic,Greece","pre-seed, seed, series+",VC,3000000,50000000,IT
AVV Ascend Vietnam Ventures,"United States,Vietnam","pre-seed, idea, prototype/mvp, seed, series+",VC,500000,2000000,IT
AWS Gründerfonds,Austria,"pre-seed, seed, series+",Public fund,100000,1000000,Other
Axilor Ventures,India,"pre-seed, idea, prototype/mvp, seed",VC,200000,500000,IT
b.value AG,"Germany,Austria,Switzerland","pre-seed, idea, prototype/mvp, seed",VC,100000,550000,IT
BackBone Ventures,"Switzerland,Germany,Austria,Israel","pre-seed, idea, prototype/mvp, seed, series+",VC,100000,1000000,Sector Agnostic
Backed VC,United Kingdom,"pre-seed, idea, prototype/mvp, seed, series+",VC,250000,3000000,Other
Badhouse Ventures,Canada,"pre-seed, idea, prototype/mvp, seed",VC,10000,150000,IT
BADideas.fund,"Albania,Belarus,Czech Republic,Estonia,Latvia,Lithuania,Moldova,Poland,Romania,Slovakia,Slovenia,Ukraine","pre-seed, seed, series+",Angel network,50000,300000,IT
Bailador Technology Investments,Australia,"pre-seed, series a",VC,2000000,4000000,IT
Baloise Mobility,"Germany,Switzerland,Belgium,Luxembourg,Spain,France,Italy,Denmark,Sweden,Finland","pre-seed, idea, prototype/mvp, seed, series+",Corporate VC,500000,5000000,IT
Baltic Ports,"United Kingdom,United States,Austria,Armenia,United Arab Emirates,Liechtenstein","pre-seed, pre-ipo, seed, series+",VC,50000,1000000,IT
Banana Capital,"United States,Canada,United Kingdom,France,Germany,Mexico,Nigeria,Kenya,Egypt,India,""Eswatini (fmr. """"Swaziland"""")"",Indonesia,Thailand,Vietnam,South Korea,Japan,Brazil,Argentina,Colombia,Peru","pre-seed, idea, prototype/mvp, pre-ipo, seed, series+",VC,25000,300000,Consumer
Banca Generali,Italy,"pre-seed, pre-ipo, series+",Other,1000000,3000000,Sector Agnostic
Bankinter VC,"Spain,Portugal,Ireland","pre-seed, seed, series+",VC,500000,1000000,Sector Agnostic
Bay Street Capital Holdings,United States,"pre-seed, seed",Other,250000,2000000,Sector Agnostic
BBG Ventures,United States,"pre-seed, idea, prototype/mvp, seed",VC,500000,1000000,Consumer
BDev Ventures,"Canada,United States,Australia,Brazil,Mexico,United Kingdom","pre-seed, idea, prototype/mvp, seed, series+",VC,50000,3000000,"IT, Fintech"
Beacon Capital (UK),"United Kingdom,Portugal,Spain,France,Italy,Germany,Belgium,Ireland,Austria,Bulgaria,Croatia,Czech Republic,Denmark,Estonia,Finland,Greece,Hungary,Latvia,Lithuania,Netherlands,Norway,Poland,Romania,Russia,Ukraine,Monaco,Luxembourg,Cyprus,Malta","pre-seed, idea, prototype/mvp, seed",VC,300000,1000000,Other
Beams Fintech Fund,India,"pre-seed, pre-ipo, series+",VC,7000000,12000000,IT
Because Ventures,United States,"pre-seed, idea, prototype/mvp, pre-ipo, seed, series+",VC,50000,500000,Other
Ben Padnos,United States,"pre-seed, idea, prototype/mvp, seed, series+",Solo angel,50000,6000000,Sector Agnostic
Better Tomorrow Ventures,"Mexico,Indonesia,Nigeria,Ghana,Kenya,India,Brazil,United States,Canada,Israel,Vietnam","pre-seed, idea, prototype/mvp, seed",VC,250000,2000000,Fintech
Better Ventures,United States,"pre-seed, idea, prototype/mvp, seed, series+",VC,500000,1000000,IT
better ventures,Germany,"pre-seed, idea, prototype/mvp, seed",Angel network,25000,800000,Edtech
BFG Blockchain Founders Group,"Germany,Austria,Switzerland,Belgium,United States,United Kingdom,Netherlands,Portugal,Spain,France,Luxembourg,Italy,Poland,Liechtenstein,Denmark,Norway,Canada,Ireland","pre-seed, idea, prototype/mvp, seed, series+",VC,100000,500000,Sector Agnostic
BGV Benhamou Global Ventures,"United States,France,Israel,India","pre-seed, seed",VC,250000,5000000,IT
Bienville Capital,United States,"pre-seed, idea, prototype/mvp, pre-ipo, seed, series+",Family office,500000,3000000,IT
Big Sky Capital,"Singapore,Indonesia,Malaysia,Kazakhstan,United States","pre-seed, idea, prototype/mvp, seed, series+",VC,50000,500000,"IT, Edtech, Fintech"
Big Sur Ventures,"Austria,Belgium,Brazil,Colombia,Croatia,Czech Republic,Cyprus,Denmark,Estonia,Finland,France,Germany,Italy,Mexico,Luxembourg,Netherlands,Norway,Poland,Portugal,Spain,Sweden,Switzerland,United Kingdom","pre-seed, idea, prototype/mvp, seed",VC,100000,1000000,IT
Bigspace Investments Ltd,"Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,United Kingdom,Australia","pre-seed, idea, prototype/mvp, seed",VC,25000,500000,"IT, Edtech, Fintech"
BimTek Group,India,"pre-seed, pre-ipo, series a",Family office,10000000,15000000,Consumer
BIP Capital,"United States,Canada","pre-seed, seed, series+",VC,100000,10000000,"IT, Media, Fintech"
Black Capital Ventures,"Norway,Sweden,Denmark,Finland","pre-seed, idea, prototype/mvp",VC,100000,1000000,IT
Black Diamond Ventures,United States,"pre-seed, idea, prototype/mvp, seed, series+",VC,25000,5000000,"Healthcare, IoT"
Black Pearls VC,"Denmark,Estonia,Finland,Germany,Latvia,Lithuania,Norway,Poland,Sweden","pre-seed, idea, prototype/mvp, seed, series+",VC,100000,1000000,IT
Black Tech Nation Ventures,United States,"pre-seed, idea, prototype/mvp, seed, series+",VC,200000,1000000,IT
BlackFin Tech,"France,Germany,United Kingdom,Spain,Denmark,Belgium,Portugal,Austria,Sweden","pre-seed, seed, series+",VC,1000000,30000000,Fintech
Blackhorn Ventures,"Mexico,United States,United Kingdom,Australia","pre-seed, idea, prototype/mvp, seed",VC,100000,8000000,Energy
BlackTech Capital ,"Canada,United States","pre-seed, seed, series+",VC,50000,500000,Sector Agnostic
Blast.Club,"Andorra,Belgium,France,Germany,Italy,Luxembourg,Portugal,Spain","pre-seed, seed, series+",VC,500000,5000000,"IoT, IT, Consumer, Fintech, Edtech"
Blisce/,"France,United States,United Kingdom,Germany,Netherlands,Sweden,Denmark,Norway,Spain,Italy,Finland","pre-seed, series a",VC,10000000,20000000,Other
Block Dojo,United Kingdom,"pre-seed, idea, prototype/mvp","Incubator, Accelerator",12000,12000,Other
Blockchain Founders Fund,"Central African Republic,Canada,United States,India,Indonesia,Singapore,Vietnam,France,Portugal,Spain,United Kingdom,Israel","pre-seed, idea, prototype/mvp, seed, series+",VC,200000,1000000,Sector Agnostic
